编号,名称,电压等级,本侧站,对侧站,正序阻抗,零序阻抗,长度(km),调度名称对应
1,淄临线,500kV,淄博站,临淄站,0.0256119+j0.281924,0.0778669+j0.733003,34.66,
2,济天线,500kV,天衍站,济南站,0.0228987+j0.272092,0.164774+j0.67008,36.43,
3,益川Ⅱ线,500kV,淄川站,益都站,0.0291022+j0.269969,0.219195+j0.809907,80.75,
4,德韶线,500kV,闻韶站,德州站,0.025849+j0.274096,0.194024+j0.670495,34.57,
5,川泰Ⅱ线,500kV,泰山站,淄川站,0.020001+j0.280011,0.080003+j0.700028,100.01,
7,蒙照Ⅱ线,500kV,日照站,沂蒙站,0.0211927+j0.282284,0.222048+j0.776699,97.26,
8,照琅Ⅰ线,500kV,琅琊站,日照站,0.0234183+j0.282387,0.282955+j0.841961,89.4,
9,华陵线,500kV,陵县站,,0.0291697+j0.288099,0.163869+j0.637808,36.13,
10,莱光Ⅱ线,500kV,,光州站,0.0315376+j0.228248,0.12615+j0.798868,45.33,
11,阳霞线,500kV,栖霞站,莱阳站,0.00944345+j0.26644,0.119325+j0.90393,77.98,
12,枣蒙Ⅱ线,500kV,枣庄站,沂蒙站,0.0202601+j0.286658,0.249498+j0.790125,111.51,
13,邹泰线,500kV,泰山站,,0.0270007+j0.282402,0.108001+j0.706006,104.69,
14,岱泰线,500kV,岱宗站,泰山站,0.0215158+j0.203734,0.170203+j0.742837,47.93,
15,东琅Ⅱ线,500kV,胶东站,琅琊站,0.0349006+j0.266722,0.195226+j0.727883,37.22,
16,光寿Ⅱ线,500kV,光州站,寿光站,0.0211615+j0.268948,0.0736365+j0.533027,98.06,
17,皇郓Ⅱ线,500kV,,郓城站,0.02+j0.28,0.0652+j0.728,48.5,
18,龙济Ⅰ线,500kV,蟠龙站,济南站,0.020072+j0.274136,0.153352+j0.87911,23.6,
19,长龙Ⅱ线,500kV,蟠龙站,长清站,0.0271592+j0.27675,0.17056+j0.714157,63.01,
20,聊长Ⅱ线,500kV,长清站,聊城站,0.0200242+j0.295516,0.180299+j0.749434,74.26,
21,邑聊Ⅰ线,500kV,,聊城站,0.0273843+j0.28,0.196242+j0.741659,12.96,
22,郓泰Ⅱ线,500kV,郓城站,泰山站,0.022547+j0.21299,0.170127+j0.871475,143.03,
23,潍泽线,500kV,大泽站,潍坊站,0.0304193+j0.271165,0.197327+j0.715733,62.25,
25,霞光线,500kV,光州站,栖霞站,0.0181739+j0.272543,0.238271+j0.896422,99.5,
